Beach,Image,Results,Seal Conf Lvl,Clump Conf Lvl,Overlap,Clump Threshold,Ground Truth,Median Prop Diff
LN,DJI_0786,1.0,38,34,21,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,34,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,34,21,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,36,21,5,3,0.0
LN,DJI_0786,3.0,30,36,21,6,3,0.0
LN,DJI_0786,3.0,32,36,21,5,3,0.0
LN,DJI_0786,3.0,32,36,21,6,3,0.0
LN,DJI_0786,3.0,34,36,21,5,3,0.0
LN,DJI_0786,3.0,34,36,21,6,3,0.0
LN,DJI_0786,2.0,36,36,21,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,36,21,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,36,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,36,21,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,36,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,36,21,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,38,21,5,3,0.0
LN,DJI_0786,3.0,30,38,21,6,3,0.0
LN,DJI_0786,3.0,32,38,21,5,3,0.0
LN,DJI_0786,3.0,32,38,21,6,3,0.0
LN,DJI_0786,3.0,34,38,21,5,3,0.0
LN,DJI_0786,3.0,34,38,21,6,3,0.0
LN,DJI_0786,2.0,36,38,21,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,38,21,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,38,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,38,21,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,38,21,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,38,21,6,3,0.6666666666666666
LN,DJI_0786,5.0,30,40,21,5,3,0.6666666666666666
LN,DJI_0786,5.0,30,40,21,6,3,0.6666666666666666
LN,DJI_0786,5.0,32,40,21,5,3,0.6666666666666666
LN,DJI_0786,5.0,32,40,21,6,3,0.6666666666666666
LN,DJI_0786,5.0,34,40,21,5,3,0.6666666666666666
LN,DJI_0786,5.0,34,40,21,6,3,0.6666666666666666
LN,DJI_0786,4.0,36,40,21,5,3,0.3333333333333333
LN,DJI_0786,4.0,36,40,21,6,3,0.3333333333333333
